EXCLUDE,Line Number,Location path code,Date/Video Link,Time of Day/ Timestamp,Context,Caregiver Question,Learning Practice (Exclude),Menu,Word/Phrase,Caregiver Response,Comments
,93,DK,3/3/22,8:51am,,,,,Crafts,,Engaged in craft and tracing activities for 20 minutes
,94,EB,3/3/22,8:51am,,,,,Happy,,"Feathers soft, body engaged and active"
TRUE,95,,3/25/22,10:35am,"Morning communication and learning session, I opened the treat menu to rebuild trust and interaction with new CommBoard and tablet",,Learning practice,,Sunflower seeds,Do it again! One and two,
TRUE,96,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,(gave treat),
TRUE,97,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Yep what do you want?,
TRUE,98,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,"That was two times, good! (gave treat)",
TRUE,99,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Touch again! What do you want?,
TRUE,100,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good job! (gave treat),
TRUE,101,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,OK what do you want? ,
TRUE,102,,3/25/22,10:35am,,,Learning practice,,Seed ball,,
TRUE,103,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good! One more time what do you want?,
TRUE,104,,3/25/22,10:35am,,,Learning practice,,Mango,,Sliding her beak back and forth
TRUE,105,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,What do you want? Touch two times!,
TRUE,106,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Gave a treat Let me help you out,
TRUE,107,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good! What do you want?,
TRUE,108,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good job! (gave treat),
TRUE,109,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,OK! What do you want? Two times!,Really struggling with responsive touches
TRUE,110,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good job,
TRUE,111,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,,
TRUE,112,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good what do you want?,
TRUE,113,,3/25/22,10:35am,,,Learning practice,,Sunflower seeds,Good job! (gave treat),
TRUE,114,,,,,,,,,,
,115,C,3/25/22,6:29pm,,,,Experience,,Uh-huh?,
,116,CE,3/25/22,6:29pm,,,,,See,Yeah?,"See usually means ""see outside"""
,117,CE,3/25/22,6:29pm,,,,,See,Do you want to see? OK!,"Jen holds her hand out to Ellie and asks if she wants to go outside, Ellie does not respond"
TRUE,118,,3/25/22,6:29pm,,,,,,,Jen opens Say hello to
TRUE,119,,,,,,,,,,
TRUE,120,,3/25/22,,,,Learning practice,Bird friends,,,
TRUE,121,,3/25/22,6:29pm,,,Learning practice,,Outside walk,,
TRUE,122,,3/25/22,6:29pm,,,Learning practice,,Outside walk,,
TRUE,123,,3/25/22,6:29pm,,,Learning practice,,Outside walk,,
TRUE,124,,3/25/22,6:29pm,,,Larning Practice,,,,She picked yes
TRUE,125,,3/25/22,6:29pm,,,Larning Practice,,,,She picked no
,126,BC,3/25/22,6:29pm,,,,,Mom,Yeah?,
,127,BC,3/25/22,6:29pm,,,,,Mom,,
,128,BI,3/25/22,6:29pm,,,,,Outside walk,OK let's do it!,"She is afraid of the gate we have to walk through, so is usually tentative about stepping up to go outside ; we went for a walk"
,129,EB,3/25/22,6:29pm,,,,,Happy,Yeah?,
,130,EB,3/25/22,6:29pm,,,,,Happy,,
,131,EB,3/25/22,6:29pm,,,,,Happy,,Had difficulty with a hand transfer
TRUE,132,,3/25/22,6:29pm,,,,,,,She picked no
TRUE,133,,3/25/22,6:29pm,,,,,,,She picked yes
TRUE,134,,3/25/22,6:29pm,,,,,,,Yes
TRUE,135,,3/25/22,6:29pm,,,,,,,She picked no I lured her with a cashew
TRUE,136,,,,,,,,,,
TRUE,137,,,,,,,,,,
,138,I,3/25/22,6:29pm,We returned from the outside walk,,,Places,,,Accidentally opened another app
,139,C,3/25/22,6:29pm,,,,Experience,,,
,140,CD,3/25/22,6:29pm,,,,,Touch,,"Touch usually indicates book, but when I opened play menu, she picked tracing"
,141,CD,3/25/22,6:29pm,,,,,Touch,,
,142,DF,3/25/22,6:29pm,,,,,Tracing,Yeah? ,
TRUE,143,,3/25/22,6:29pm,,,,,,,"Asked which she wanted between tracing and book She picked tracing (traced g, h, c, a, m, o)"
TRUE,144,,,,,,,,,,
,145,C,3/25/22,6:29pm,see 1st 3/25 - outside walk,,,Experience,,,had difficulty with pressure touches
,146,CB,3/25/22,6:29pm,,,,,Mom,,
,147,CE,3/25/22,6:29pm,,,,,See,,Commentary communication about something she did?
,148,CE,3/25/22,6:29pm,,,,,See,,
,149,CB,3/25/22,,,,,,Mom,"Yeah, Ellie and mom went outside to see!",
TRUE,150,,3/25/22,,,,,,,,
,151,CE,3/25/22,6:29pm,,,,,See,"Yeah, see, we went outside to see!; We saw outside, Mom and Ellie outside see",
TRUE,152,,3/25/22,,,,,,,,"Ellie does not press on commboard anymore. Jen hold up treat dish for her, Ellie eats a bit. She walks off screen, recording ends."
TRUE,153,,,,,,,,,,
,154,D,3/27/22,9:49 AM,Morning session,,,To Play,,,
,155,DF,3/27/22,9:49 AM,,,,,Tracing,,Writing and tracing are the same activity work
,156,DE,3/27/22,9:49 AM,,,,,Writing,OK!,"Worked on Easter vocab, writing and tracing"
TRUE,157,,,,,,,,,,
,158,D,3/27/22,8:44pm,Training session with Sierra,,,To play,,,
,159,DC,3/27/22,8:44pm,,,,Book,,,"She touched ""pop up"" because it's under the book menu"
,160,DCB,3/27/22,8:44pm,,,,,Touch and feel,,
,161,DCB,3/27/22,8:44pm,,,,,Touch and feel,,
TRUE,162,,3/27/22,8:44pm,,,,,,,Sierra offered a pop up and touch and feel book Ellie picked touch and feel Rest of session was dance party she initiated with gesture
TRUE,163,,,,,,,,,,
,164,C,3/28/22,10:11pm,Evening check-in,,,Experience,,,
,165,CB,3/28/22,10:11pm,,,,,Mom,,
,166,CB,3/28/22,10:11pm,,,,,Mom ,,
,167,CD,3/28/22,10:11pm,,,,,Touch,,
,168,CD,3/28/22,10:11pm,,,,,Touch,,
,169,DC,3/28/22,10:11pm,,,,Book,,,
,170,DCB,3/28/22,10:11pm,,,,,Touch and feel,,"She pressed ""pop up"" because it's under the book menu"
,171,DCE,3/28/22,10:11pm,,,,Reading book,,,
,172,DCEC,3/28/22,10:11pm,,,,,Sentence book,,
,173,DCB,3/28/22,10:11pm,,,,,Touch and feel,,
,174,DCG,3/28/22,10:11pm,,,,Theme,,,
,175,DCGC,3/28/22,10:11pm,,,,Animals,,,
TRUE,176,,3/28/22,10:11pm,,,,,,,I held up an Easter egg T&F book and a baby animals T&F book and she selected Baby Animal Touch and Feel so we read that book together
,177,F,3/28/22,10:11pm,,,,Games,,,Mis-touch?
TRUE,178,,3/28/22,,,,,,,,
,179,K,3/28/22,10:11pm,,,,Cartoons,,,
,180,KB,3/28/22,10:11pm,,,,,Peppa Pig,,
,181,KB,3/28/22,10:11pm,,,,,Peppa Pig,,"I turned on Peppa Pig cartoons; video cuts off, length unknown"
TRUE,182,,,,,,,,,,
,183,A,3/29/22,6:46pm,This is a new commboard weather menu,,,Talk about,,,
,184,AB,3/29/22,6:46pm,,,,Temp and weather,,,
,185,ABC,3/29/22,6:46pm,,,,Hot,,,
,186,ABCB,3/29/22,6:46pm,,,,,I feel hot,You feel hot?,
,187,ABCB,3/29/22,6:46pm,,,,,I feel hot,,
,188,ABCD,3/29/22,6:46pm,,,,,I want to feel hot,,
,189,ABCE,3/29/22,6:46pm,,,,,Hot inside,,
,190,ABCG,3/29/22,6:46pm,,,,,Hot wind blow dryer,,
,191,ABCF,3/29/22,6:46pm,,,,,Hot outside,,
TRUE,192,,3/29/22,6:46pm,,,,,,,"I asked if she wanted the hot wind blow dryer and she indicated yes I turned on the blow dryer Then I pushed the hot wind blow dryer button for her twice; she stayed in the wind of it, but I just did an association with it, not duration"
,193,B,3/29/22,6:46pm,,,,Say hello to,,,
,194,BH,3/29/22,6:46pm,,,,Bird friends,,,picked skittles and then cookie together
TRUE,195,,3/29/22,,,,,,,,
,196,BHD,3/29/22,6:46pm,,,,,"Skittles, Squee and Yaya",,
TRUE,197,,3/29/22,6:46pm,,,,,,7:21,"Do you want to call friends or do you want to play on your CommBoard more? I held up a commboard screen and the messenger appon two different tablets She picked messenger app They called later and the birds hung out for a bit 3:30 with grandma, 4:21 with bird friends"
TRUE,198,,3/29/22,6:46pm,,,,,,,
,199,D,3/29/22,6:46pm,,,,To play,,Yeah?,
,200,DF,3/29/22,6:46pm,,,,,Tracing,,
,201,DF,3/29/22,6:46pm,,,,,Tracing,OK let's do it,
,202,DB,3/29/22,6:46pm,,,,,Snuggle,What do you want to do?,
,203,DE,3/29/22,6:46pm,,,,,Writing,"Yeah? One more time, what do you want?",
,204,DB,3/29/22,,,,,,Snuggle,,
,205,DC,3/29/22,6:46pm,,,,Book,,One more time?,
,206,DCB,3/29/22,6:46pm,,,,,Touch and Feel,Let's go back and check!,
,207,DC,3/29/22,6:46pm,,,,Book,,What do you want?,
,208,DCB,3/29/22,6:46pm,,,,,Touch and Feel,Yeah? ,
,209,DCG,3/29/22,,,,,Theme,,It sounds like you want writing and a book. Let's try again. <To Play menu>,
,210,DB,3/29/22,6:46pm,,,,,Snuggle,,
,211,DF,3/29/22,6:46pm,,,,,Tracing,,
,212,DC,3/29/22,6:46pm,,,,Book,,"Sounds like you want three things, and we will do all of them!",
,213,DCG,3/29/22,6:46pm,,,,Theme,,,
,214,DCGC,3/29/22,6:46pm,,,,Animals,,"OK, we'll get all of these. Let's do writing first...",
,215,DCGB,3/29/22,6:46pm,,,,Fantasy,,,
,216,DCGBB,3/29/22,6:46pm,,,,,Unicorn,,"We'll do all of it. She kept going with pressing (unicorn, dragon, fairy book = one particular book)"
,217,DCGBC,3/29/22,,,,,,Dragons,,
,218,A,3/29/22,6:46pm,,,,Talk about,,,
,219,AD,3/29/22,6:46pm,,,,Animals,,,
,220,ADB,3/29/22,6:46pm,,,,,Easter Babies,ok we'll do Easter babies...,
,221,ADB,3/29/22,6:46pm,,,,,Easter Babies,"OK, we'll do some writing and learn about Easter babies and some snuggles No worries, we'll do all of them",
,222,A,3/29/22,6:46pm,,,,talk about,,,
,223,AC,3/29/22,6:46pm,,,,Fantasy,,,
,224,ACE,3/29/22,6:46pm,,,,,Fairies,"Fairies, Dragons, Unicorns is a specific flip down touch and feel book",
,225,ACB,3/29/22,,,,,,Dragons,,
,226,ACE,3/29/22,,,,,,Fairies,,
,227,ACD,3/29/22,6:46pm,,,,,Unicorns,,
,228,ACE,3/29/22,6:46pm,,,,,Fairies,"If you can pick one thing, what is it? Just one thing, one one one",
,229,DC,3/29/22,6:46pm,,,,Book,,,pop up book is under the book menu and triggered when she presses book
,230,DCD,3/29/22,,,,,,Pop up,,
,231,DCB,3/29/22,6:46pm,,,,,Touch and Feel,,
,232,DCE,3/29/22,6:46pm,,,,,Reading book,OK let's do a book,
TRUE,233,,3/29/22,6:46pm,,,,,,,Held up tablet with tracing and a touch and feel animal book - she picked the touch and feel book Offered Easter book and Baby Animals T&F and she picked Baby Animals
TRUE,234,,3/29/22,,,,,,,,Pref pick between tracing and vocab word cards
TRUE,235,,3/29/22,6:46pm,,,,,,,She snuggled on my knee and worked on Easter baby animal vocabulary
TRUE,236,,,,,,,,,,
,237,B,3/30/22,6:47 PM,,,,Say hello to,,,Dropped from 1:1 schedule of reinforcement with pine nuts to intermittent schedule with varied treats
,238,BH,3/30/22,6:47 PM,,,,Bird Friends,,,
,239,BHB,3/30/22,6:47 PM,,,,,Cookie,You wanna talk to Cookie? I'll see if he's available,"Cookie wasn't available While I was messaging, Ellie picked all of her bird friends over and over again "
TRUE,240,,,,,,,,,,
,241,BHB,3/30/22,Same sesssion as previous but different video,,,,,Cookie,,(all of these bird friends chosen were not recorded-just shown in the commboard history when Jen turned on the camera again
,242,BHB,3/30/22,,,,,,Cookie,,
,243,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,244,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,245,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,246,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,247,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,248,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,249,BHC,3/30/22,,,,,,Little Lou,,
,250,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,251,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,252,BHB,3/30/22,,,,,,Cookie,,
,253,BHC,3/30/22,,,,,,LIttle Lou,,
,254,BHB,3/30/22,,,,,,Cookie,,
,255,BHD,3/30/22,,,,,,"Skittles, Squee and Yaya",,
,256,A,3/30/22,6:47 PM,,,,Talk about,,Yeah?,
,257,AB,3/30/22,6:47 PM,,,,Temp and Weather,,,
,258,ABC,3/30/22,,,,,Hot,,Yeah?,
,259,ABCB,3/30/22,,,,,,I feel hot,Yeah?,
,260,ABCE,3/30/22,,,,,,Hot inside,,
TRUE,261,,3/30/22,6:47 PM,,,,,,,Do you feel cold? <yes> Do you feel hot? <no> 
TRUE,262,,3/30/22,,,,,,,,Jen tried to ask Ellie another pipecleaner question (Do you want a treat) but Ellie pressed on commboard instead
,263,ABCD,3/30/22,6:47 PM,,,,,I want to feel hot,,
,264,ABCB,3/30/22,6:47 PM,,,,,I feel hot,,"We refreshed yes/no symbols with treat, kiss, and other questions and yes/no question conversation (low accuracy); details in rows below"
TRUE,265,,3/30/22,,,,,,,,Ellie eats treat
TRUE,266,,3/30/22,,,,,,,,
TRUE,267,,3/30/22,,,,,,,,Jen gives Ellie a kiss
TRUE,268,,3/30/22,,,,,,,,
TRUE,269,,3/30/22,,,,,,,,
TRUE,270,,3/30/22,,,,,,,,
TRUE,271,,3/30/22,,,,,,,,
TRUE,272,,3/30/22,,,,,,,,
TRUE,273,,3/30/22,,,,,,,,
TRUE,274,,3/30/22,,,,,,,,
TRUE,275,,3/30/22,,,,,,,,(conflicting answer)
TRUE,276,,3/30/22,,,,,,,,
TRUE,277,,3/30/22,,,,,,,,
TRUE,278,,3/30/22,,,,,,,,(correct)
TRUE,279,,3/30/22,,,,,,,"No, there's sunlight. Day sun outside. Outside, day sun (Jen points out window)",(incorrect)
TRUE,280,,,,,,,,,,
TRUE,281,,3/30/22,6:47 PM,Hot/warm/cool/cold lesson,,Learning practice,,,,Held hot water cup for her to touch
TRUE,282,,3/30/22,6:47 PM,,,Learning practice,Hot,,,Ellie touched the hot menu button and drank hot water
TRUE,283,,3/30/22,6:47 PM,,,Learning practice,Cool,,,Held warm water cup for her to touch
TRUE,284,,3/30/22,6:47 PM,,,Learning practice,Cool,,,"It feels cool compared to the hot, right? But it's warm"
TRUE,285,,3/30/22,6:47 PM,,,Learning practice,Warm,,,"(repeatedly invited her to touch the warm button, beak was wet so it didn't register)"
TRUE,286,,3/30/22,6:47 PM,,,Learning practice,Cool,,,"Invited her to touch the cool button, paired cool button with cool water"
TRUE,287,,3/30/22,6:47 PM,,,Learning practice,,,,"Paired cool water with cool button, but she struggled with pressure stouches cuz it was wet"
TRUE,288,,3/30/22,6:47 PM,,,Learning practice,,,,Paired button with warm button
TRUE,289,,3/30/22,6:47 PM,,,Learning practice,,,,Paired button with warm button
TRUE,290,,3/30/22,6:47 PM,,,Learning practice,,,,Paired button with cool water
TRUE,291,,3/30/22,6:47 PM,,,Learning practice,,,,Quizzing her
TRUE,292,,3/30/22,6:47 PM,,,Learning practice,,,"That's right, good job!",
TRUE,293,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,294,,3/30/22,6:47 PM,,,Learning practice,,,,I let her sip each cup
TRUE,295,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,296,,3/30/22,6:47 PM,,,Learning practice,,,,Paired the cold cup with vocab for cold
TRUE,297,,3/30/22,6:47 PM,,,Learning practice,,,That's cold,
TRUE,298,,3/30/22,6:47 PM,,,Learning practice,,,Good!,Guided her to hot cup
TRUE,299,,3/30/22,6:47 PM,,,Learning practice,,,,Guided her to cold cup
TRUE,300,,3/30/22,6:47 PM,,,Learning practice,,,That's right! Good job!,
TRUE,301,,3/30/22,6:47 PM,,,Learning practice,,,,Swapped hands
TRUE,302,,3/30/22,6:47 PM,,,Learning practice,,,,Guided her to correct answer
TRUE,303,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,304,,3/30/22,6:47 PM,,,Learning practice,,,,prompted her to cold cup
TRUE,305,,3/30/22,6:47 PM,,,Learning practice,,,,Prompted her to hot cup
TRUE,306,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,307,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,308,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,309,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,310,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,311,,3/30/22,6:47 PM,,,Learning practice,,,That's right! Great job!,Quizzing her
TRUE,312,,3/30/22,6:47 PM,,,Learning practice,,,That's right! Good job!,Quizzing her
TRUE,313,,3/30/22,6:47 PM,,,Learning practice,,,,She was distracted by treats in the cup
TRUE,314,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,315,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,316,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,317,,3/30/22,6:47 PM,,,Learning practice,,,"No, you feel hot You are probably warm",Distracted by treats in cup 
TRUE,318,,3/30/22,6:47 PM,,,Learning practice,,,,Directed her to hot cup
TRUE,319,,3/30/22,6:47 PM,,,Learning practice,hot,,,She picked hot
TRUE,320,,3/30/22,6:47 PM,,,Learning practice,Cold,,,Guided her to cold button
TRUE,321,,3/30/22,6:47 PM,,,Learning practice,Cold,,,Guided her to cold button
TRUE,322,,3/30/22,6:47 PM,,,Learning practice,Cold,,,Guided her to cold button
TRUE,323,,3/30/22,6:47 PM,,,Learning practice,,,,Quizzing through reading
TRUE,324,,3/30/22,6:47 PM,,,Learning practice,,,,Quizzing through reading
TRUE,325,,3/30/22,6:47 PM,,,Learning practice,,,,Quizzing through reading
TRUE,326,,3/30/22,6:47 PM,,,Learning practice,,,,Quizzing through reading
TRUE,327,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,328,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,329,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,330,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,331,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,332,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,333,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,334,,3/30/22,6:47 PM,,,Learning practice,Hot,,That's right!,Quizzing words with buttons on the commboard blind
TRUE,335,,3/30/22,6:47 PM,,,Learning practice,Cool,,That was a hard one! Good job!,
TRUE,336,,3/30/22,6:47 PM,,,Learning practice,Cold,,You're so good! ,
TRUE,337,,3/30/22,6:47 PM,,,Learning practice,Warm,,,
TRUE,338,,3/30/22,6:47 PM,,,Learning practice,Cool,,You're amazing!,Blind Quizzing buttons with treats that are hot/warm/cool/cold
TRUE,339,,3/30/22,6:47 PM,,,Learning practice,Cold,,Good job,Blind Quizzing buttons with treats that are hot/warm/cool/cold
TRUE,340,,3/30/22,6:47 PM,,,Learning practice,Hot,,,Blind Quizzing buttons with treats that are hot/warm/cool/cold
TRUE,341,,3/30/22,6:47 PM,,,Learning practice,Cool,,"It's cooler than hot, but actually, it's warm!",Blind Quizzing buttons with treats that are hot/warm/cool/cold Let her touch the warm cup a lot
TRUE,342,,3/30/22,6:47 PM,,,Learning practice,Warm,,Great!,Blind test
TRUE,343,,3/30/22,6:47 PM,,,Learning practice,Hot,,I would say it's warm This is kind of warm ,(blind)
TRUE,344,,3/30/22,6:47 PM,,,Learning practice,Warm,,,Directed touch
TRUE,345,,3/30/22,6:47 PM,,,Learning practice,Warm,,,Directed touch
TRUE,346,,3/30/22,6:47 PM,,,Learning practice,,Warm inside,,Directed touch
TRUE,347,,3/30/22,6:47 PM,,,Learning practice,Hot,,,Blind
TRUE,348,,3/30/22,6:47 PM,,,Learning practice,,I want to feel hot,Yeah? And how do you feel?,
TRUE,349,,3/30/22,6:47 PM,,,Learning practice,,I feel hot,,
TRUE,350,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,351,,3/30/22,6:47 PM,,,Learning practice,,,,"(Not looking at the symbols, looking away, eyes closed)"
TRUE,352,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,353,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,354,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,355,,3/30/22,6:47 PM,,,Learning practice,,,,
TRUE,356,,3/30/22,6:47 PM,,,Learning practice,Cool,,,"Trying to touch, but needed help"
