EXCLUDE,Line Number,Location path code,Date/Video Link,Time of Day/ Timestamp,Context,Caregiver Question,Menu,Destination Word,,,Caregiver Response,Comments,
,20,IBJ,,,,,,dark,,,uh huh,"non-capacitive Broken-Fixed-Broken-Fixed-Broken, (non-capacitive whatever is above to the right of dark-looks like blue chick cartoon? slides to dark)",
,21,IBL,,,,uh huh,,out,,,Alexa turn the volume down. We're in. It's dark out. ,fast double-touch capacitive,
,22,IBJ,,,,"Ellie bobs head, Jen says yeah, go for it",,dark,,,,,
,23,IBJ,,5:15,,,,dark,,,uh huh,"(NC dark-light-dark slide) Jen explained she thinks Ellie was afraid of a new dark backpack next to her house because she went to sleep over on Isabelle's house, which scares Isabelle. Jen moved the backpack after she was saying fix-dark-broken and moving away from it. Jen brought pine nuts and Ellie came back to tablet.",
,24,IBP,,,,are you tired of corn,,no like,,,,NC touches,
,25,IBI,,,,,,Light,,,"yeah, you like light? good job",slides to NC dark,
,26,IBJ,,,,,,dark,,,uh huh,Ellie taps screen with nut in beak to readjust nut - or non-capacitive light after capacitive dark and treat),
,27,IBJ,,,,,,dark,,,do you want sweet potato or chicken,"Ellie leans toward chicken, Jen gives a bite of chicken",
,28,IBG,,,,"or do you want pine nuts? I have some pine nuts here. okay, what's up? Let me get some more seeds",,broken,,,,non-capacitive dark while Jen was gone (and after Ellie looked in the camera),
,29,IBJ,,7:50,,here you go - okay what's up,,dark,,,uh huh,non-capacitive light,
,30,IBJ,,,,keep going,,dark,,,uh huh,,
,31,IBJ,,,,sounds good,,dark,,,I'm glad you brought that up. Do you like the dark?,,
,32,IBI,,,,"like or no like, what do you think? do you like the dark?",,Light,,,"uh huh, good job...light - it looks - perfect","non-capacitive light-dark-light, non-capacitive dark, non-capacitive dark, Jen touched back to bring her back to main menu",
,33,J,,,,what's next,About me,,,,uh huh,non-capacitive body,
,34,JD,,,,,Body,,,,"yeah, how's your body today",,
,35,JDI,,,,,,I feel good,,,,non-capacitive ouch,
,36,JDI,,,,,,I feel good,,,yeah,non-capacitive ouch,
,37,JDI,,,,,,I feel good,,,I'm so glad. Mom feels good too.,,
,38,JDI,,,,,,I feel good,,,"yeah, I had a sick ouch but I'm feeling better now",both capacitive fast slide,
,39,JDJ,,,,,,Ouch,,,uh huh,,
,40,JDJ,,,,,,Ouch,,,"uh huh, I had an ouch but I'm better now","Jen touched types of ouch, sick ouch",
,41,JDRI,,,,,,I felt ouch,,,"yeah, you felt ouch too, sick ouch - I had a sick ouch and you had a bone ouch","NC sick ouch, NC bone ouch",
,42,JDRE,,,,here you go,,Sick ouch,,,"yeah, that's what I had",NC future,
,43,JDRO,,,,,,Mom,,,,,
,44,JDRE,,,,,,Sick ouch,,,mmmhmm,NC future,
,45,JDRH,,,,,,I felt ouch,,,,,
,46,JDRI,,10:07:00,,,,I will feel ouch,,,"You will sometimes, we all feel ouches sometimes, that's a part of being alive. Our bodies sometimes get ouches. ",[Cori stopped logging NC here],
,47,JDRO,,,,,,Mom,,,uh huh,,
,48,JDRD,,,,,,Bone ouch,,,mmm hmm you did you had an outside bone ouch,touches Ellie's foot,
,49,JDRO,,,,,,Mom,,,,fast double tap,
,50,JDRH,,,,,,I felt ouch,,,,,
,51,JDRE,,,,,,Sick ouch,,,You felt ouch,,
,52,JDRI,,,,,,I will feel ouch,,,you will feel ouch sometimes. Sometimes we feel ouches,,
,53,JDRH,,,,,,I felt ouch,,,,,
,54,JDRH,,,,,,I felt ouch,,,"yep, you felt ouch for sure",,
,55,JDRH,,,,,,I felt ouch,,,,fast double tap,
,56,JDRO,,,,,,Mom,,,,,
,57,JDRO,,,,,,Mom,,,,,
,58,JDRH,,,,,,I felt ouch,,,,,
,59,JDRG,,,,,,Cancer,,,no it wasn't cancer. So cancer... Do you know what cancer is? Cancer is inside of us. But not necessarily. ,,
,60,JDRR,,,,,,Tillie,,,,might have been accidental - chewing nut and rubbing beak on screen near bottom ,
,61,JDRH,,,,,,I felt ouch,,,"not...yeah, but yeah. Cancer is like um it's in part of our body and grows big inside",(she non-capacitive touched another one twice-mabye sick ouch...not logging just noticing),
,62,JDRF,,,,,,What type of ouch,,,,,
,63,JDRF,,,,,,What type of ouch,,,"yeah cancer is when part of our body grows big - our body grows big and big and big inside, that's called cancer, but cancer doesn't mean we die. Cancer, sometimes, the doctors can fix it. ",fast double tap (also a couple non-capacitive bone ouches during this),
,64,JDRE,,,,,,Sick ouch,,,Sick ouch is when I have a bug. There's a bug inside of me. Are you looking inside of me?,Ellie looks with one eye at the picture of Mom on the screen,
,65,JDRF,,,,"There's a bug (laughs). When we get sick, it's called a virus. There's a virus inside of us. Or a bacteria bug. A virus bug or a bacteria bug.",,What type of ouch ,,,Yeah. So I had a little virus bug inside of me when I had a sick ouch. But it's all gone now. ,,
,66,JDRE,,,,,,Sick ouch,,,,,
,67,JDRD,,,,,,Bone ouch,,,"Yep, here, yeah you had a bone ouch right there. And Tillie has a bone ouch in her foot and in her wing. She has two bone ouches. And she gets medicine",,
,68,JDRD,,,,,,Bone ouch,,,"yeah, she gets medicine for her bone ouches",,
,69,JDRH,,,,,,I felt ouch,,,yeah,(2 NC I felt ouch),
,70,JDRD,,,,,,Bone ouch,,,yeah. That's what you had. A bone ouch,,
,71,JDRH,,,,,,I felt ouch,,,mmmhmm,fast double tap,
,72,JDRH,,,,,,I felt ouch,,,,Jen navigates back,
,73,JDJ,,,,Good girl. And how are you feeling today? How are you?,,Ouch,,,yeah,fast double tap,
,74,JDJ,,,,,,Ouch,,,,,
,75,JDJ,,,,"Do you hear the wind? We hear the wind, we feel the wind, but we don't see the wind, it's invisible",,Ouch,,,yeah,(NC I feel good and ouch),
,76,JDJ,,,,,,Ouch,,,,,
,77,JDI,,,,,,I feel good,,,yeah,,
,78,JDJ,,,,,,Ouch,,,uh huh,,
,79,JDJ,,,,,,Ouch,,,,,
,80,JDI,,,,,,I feel good,,,mmm hmm,(nc-I feel good ouch I feel good),
,81,JDI,,,,,,I feel good,,,I'm glad,,
,82,JDJ,,,,,,Ouch,,,mmm hmm,rapid taps,
,83,JDJ,,,,,,Ouch,,,,,
,84,JDJ,,,,,,Ouch,,,,,
,85,JDJ,,,,,,Ouch,,,,,
,86,JDI,,,,,,I feel good,,,Okay let's go back,(nc ouch & back to I feel good) Jen hits back button,
,87,J,,,,,About me,,,,uh huh,,
,88,JD,,,,,Body,,,,uh huh,,
,89,JDI,,,,,,I feel good,,,"Okay good, I'm glad to hear that you're feeling good. Let me get some pine nuts for you.",,
,90,JDI,,,,,,I feel good,,,,,
,91,JDL,,,,,,Medicine,,,,,
,92,JDR,,,,,Types of ouch,,,,mmm hmm,(NC I will feel ouch),
,93,JDRH,,,,,,I felt ouch,,,,,
,94,JDRI,,,,,,I will feel ouch,,,That's right. You felt ouch and you will feel ouch sometimes. But that's just part of life. I have ouches. Do you see my -do you remember my ouch? Do you want to see it? I can't even remember where it's at. Is it here? ,,
,95,JDRF,,,,,,What type of ouch?,,,"Here, look. I had an ouch. Right there, yeah, remember? I had an ouch? But it's almost gone. ",Ellie gently touches the ouch on Jen's finger. ,
,96,JDRO,,,,We get ouches. They come and they go. ,,Mom,,,yeah,,
,97,JDRH,,,,,,I felt ouch,,,yeah,,
,98,HDRH,,,,,,I felt ouch,,,yeah. You did feel ouch,,
,99,JDRJ,,15:06,,,,I feel ouch,,,yeah,,
,100,JDRH,,,,,,I felt ouch,,,yeah,,
,101,JDRG,,,,,,Cancer,,,"no, it wasn't cancer, you're okay",,
,102,JDRC,,,,,,Outside ouch,,,"Yep, you had an outside ouch, high five, high five, no, okay no high five, you had an outside ouch",,
,103,JDRD,,,,,,Bone ouch,,,mmm hmm that's right you had an outside ouch bone ouch,,
,104,JDRH,,,,,,I felt ouch,,,"That's right. Good job. Good girl, that's right.",,
,105,JDRO,,,,,,Mom,,,,,
,106,JDRO,,,,,,Mom,,,mmm hmm,fast double tap,
,107,JDRF,,,,,,What kind of ouch?,,,You had an outside ouch and a bone ouch,,
,108,JDRH,,,,,,I felt ouch,,,Yeah,,
,109,JDRC,,,,,,Outside ouch,,,That's exactly right,,
,110,JDRH,,,,,,I felt ouch,,,Yep. That's right.,,
,111,JDRJ,,,,Good girl,,I feel ouch,,,Does your foot still hurt a little bit?,,
,112,JDRO,,,,,,Mom,,,yeah...sometimes our feet can hurt....,(2 NC upper right corner),
,113,JDRH,,,,,,I felt ouch,,,"yeah. That's right. Alexa, turn the volume down. ",,
,114,JDRO,,,,,,Mom,,,,,
,115,JDRH,,,,,,I felt ouch,,,yeah,,
,116,JDRH,,,,,,I felt ouch,,,mmm hmm,(NC),
,117,JDRD,,,,,,Bone ouch,,,That's exactly right it was a bone ouch,,
,118,JDRH,,,,,,I felt ouch,,,,,
,119,JDRH,,,,,,I felt ouch,,,,,
,120,JDRE,,,,,,Sick ouch,,,"I had a sick ouch, you didn't have a sick ouch, not yet",[confused between sick ouch bug convo and touching the ouch...?],
,121,JDRH,,,,,,I felt ouch,,,,,
,122,JDRH,,,,,,I felt ouch,,,,,
,123,JDRH,,,,,,I felt ouch,,,"yeah, yep",,
,124,JDRG,,,,,,Cancer,,,,,
,125,JDRO,,,,,,Mom,,,"no, nope, not cancer, but it's okay if you feel afraid. You felt really afraid. That ouch scared you. ",,
,126,JDRJ,,,,,,I feel ouch,,,"yeah, let's talk about it","(pipecleaner break - touch yes yes yes, touch no no no, good, today do you have an ouch? [yes] yeah? Thank you for sharing. Do you have an ouch on your wing today? [no] no? Thank you for sharing. Do you have an ouch on your foot today? [no] No? Do your feelings have an ouch today? Do you have an ouch feelings? [No, yes] yes? Sometimes our feelings hurt. Does this give you an ouch (touches foot). [no] No. Do you have an ouch here (touches chest) in your feelings? Do you have an ouch? [no] No? Does your head have an ouch?  [no] no?  I need to ask that again because I don't know if (xxxxundicipherable she touched?) my hand by accident. Ready, does your head have an ouch? [no] no? (I see you my silly girl-to another bird). Do you have an ouch today? [no] nope? okay. Do you feel afraid about ouches? [yes] yeah. I do not like ouches. No no no. No like ouches. They make me feel afraid too. But, that's okay. That's okay to feel afraid. Ouches come, and then they get better. See, I had an ouch there, and it's almost all better (shows finger, Ellie looks at it)Yeah, all better. Jen navigates to main. ",
,127,J,,18:10,Jen reset the menu,,About me,,,,uh huh,,
,128,,,,,,Body,,,,,,
,129,T2JDH,,,,,,Back,,,,"(back - part of body, used as past?)while Jen was moving it",
,130,JDI,,,,,,I feel good,,,"uh huh, I'm glad to hear it",,
,131,JDJ,,,,,,Ouch,,,yeah,,
,132,JDR,,,,Do you want to keep talking about your ouch?,Types of ouch,,,,I'm going to get some more treats,,
,133,JDRH,,,,,,I felt ouch,,,,,
,134,JDRH,,,,,,I felt ouch,,,,,
,135,JDRH,,,,,,I felt ouch,,,"Yeah, you did feel ouch. ",,
,136,JDRJ,,,,,,I feel ouch,,,"mmm hmm...I don't think you feel ouch today. I think you felt ouch, you felt ouch, from what you've told me, you felt ouch","Jen touches ""I felt ouch"" and Ellie NC touches something on top row",
,137,JDRG,,,,you've got it,,Cancer,,,"nope, not ouch",,
,138,JDRH,,,,,,I felt ouch,,,"yeah, do you feel afraid of cancer because of Lily? So sometimes, with cancer the something inside of us grows really big. Our body, our body grows really big inside",,
,139,JDRE,,,,,,Sick ouch,,,"yeah. and cancer, ",,
,140,JDRH,,,,,,I felt ouch,,,"But, if you get a cancer, they can go in and take it out too. So. That's okay. If you get cancer that's okay. You can still get better. ",,
,141,JDRH,,,,,,I felt ouch,,,"Yeah, you can still get better if you have cancer, but you don't have cancer. ",NC I felt ouch,
,142,JDRD,,,,,,Bone ouch,,,"yeah, those are okay",,
,143,JDRG,,,,,,Cancer,,,"yeah, no, it wasn't cancer",(nc bone ouch) ,
,144,JDRO,,,,,,Mom,,,uh huh ,,
,145,JDRG,,,,,,Cancer,,,no not cancer,,
,146,JDRO,,,,,,Mom,,,,,
,147,JDRI,,,,,,I will feel ouch,,,,,
,148,JDRC,,,,,,Outside ouch,,,"you will probably feel ouch again sometime, yeah, that's just part of being alive, that's part of being you. yeah, you wanna do a little bit more on this and then we'll talk about something else?",Ellie moves beak from bottom row (mom) to middle several times without tapping - dragging back and forth ,
,149,JDRH,,,,,,I felt ouch,,,,,
,150,JDRG,,,,,,Cancer,,,,,
,151,JDRC,,,,,,Outside ouch,,,yeah,,
,152,JDRE,,,,,,Sick ouch,,,these are okay things but you had an outside ouch,Jen navigates back,
,153,I,,,,"Okay, let's talk about something else. You're okay. You had an outside ouch. You don't have cancer, and you did not have cancer.",Descriptions and preferences,,,,"Yeah, you just felt afraid, and that's okay.",,
,154,IB,,,,,Opposites,,,,,,
,155,IBC,,,,,,High up,,,"yeah, you are high up",,
,156,IBC,,,,,,High up,,,,,
,157,IBH,,,,,,fixed,,,"yes, is it fixed? ",,
,158,IBH,,,,,,fixed,,,,,
,159,IBI,,,,,,Light,,,,,
,160,IBH,,,,,,fixed,,,Do you like that it was fixed?,,
,161,IBD,,,,,,Down low,,,uh huh,,
,162,IBD,,,,,,Down low,,,,,
,163,IBD,,,,,,Down low,,,,,
,164,IBI,,,,,,Light,,,,,
,165,IBC,,,,,,High up,,,mmm hmm,[beak grinding],
,166,IBH,,,,,,fixed,,,keep going,,
,167,IBD,,,,,,Down low,,,mmm hmm,,
,168,IBD,,25:40:00,,,,Down low,,,"uh huh, good job. What's next? Do you want to do some writing? What do you think? okay. Want to do some writing? You're amazing! I'm really proud of you. Okay. ",,
TRUE,169,,,,,,,,,,,,
,170,J,20231104_205717,day 2:07 in,,,About Me,,,,hi. how are you,,
,171,JD,,,,I was really late this morning..,Body,,,,,,
,172,JDI,,,,,,I feel good,,,I'm glad,,
,173,JDJ,,,,,,Ouch,,,,,
,174,JDI,,,,,,I feel good,,,yeah,,
,175,JDI,,,,,,I feel good,,,,,
,176,JDJ,,,,,,Ouch,,,,,
,177,JDJ,,,,,,Ouch,,,,,
,178,JDJ,,,,,,Ouch,,,,,
,179,JDI,,,,,,I feel good,,,good,,
,180,JDI,,,,,,I feel good,,,I'm glad to hear it,,
,181,J,,,,,About Me,,,,,,
,182,JD,,,,,Body,,,,,,
,183,JDC,,,,,,Tummy,,,uh huh... Alexa volume down,,
,184,JDL,,,,,,Medicine,,,"yeah, do you want the treat medicine",,
,185,JDLD,,,,,,Sick ouch antibiotics,,,"I don't think you like that one, you can taste it if you want",,
,186,JDLC,,,,,,Outside ouch medicine,,,yeah ,,
TRUE,187,,,4:19,,do you want the treat medicine,,,,,"if you have a tummy ouch we'll go see Dr Heather. ready, you'll like it, peanut butter","Jen guided her to touch sick ouch antibiotics while giving her medicine. Jen touched the Outside ouch medicine - gave her medicine on treats and said this is outside ouch, Jen touched the Outside ouch medicine - not Ellie - gave her medicine on treats and said this is outside ouch - asked her if she wanted to taste it, gave peanut butter in treat syringe - asked her to touch it, gave it to her again, had her touch it again",
,188,J,,,Jen navigates back,,About Me,,,,uh huh,,
,189,JD,,,,,Body,,,,"uh huh, you are doing great",,
,190,JDJ,,,,,,Ouch,,,,,
,191,JDI,,,,,,I feel good,,,"yeah, when you feel good, here, treat syringe","Jen navigates to medicine, treat syringe, gives her treat syringe",
,192,C,,,,,Experience,,,,,,
,193,CB,,,,,,Mom,,,yeah ,,
,194,CB,,,,,,Mom,,,,,
,195,CB,,,,,,Mom,,,,,
,196,CD,,,,,,Touch,,,uh huh,,
,197,CB,~8M,,,,,Mom,,,uh huh,,
,198,CI,,,,,,Isabelle,,,,,
,199,CE,,,,,,See,,,"okay, is Issie okay?",,
,200,CH,,,,,,Tillie,,,okay ,,
,201,CG,,,,,,Ellie,,,,,
,202,CK,,,,,,Taste,,,everybody wants a taste of this?,,
,203,CJ,,,,,,Read ,,,"everybody wants a book and treats, okay","Jen navigates to To Play, book, asks what book everyone wants",
TRUE,204,DED,,,,,,Reading book,,,yeah,,
TRUE,205,T2DEG,,,,,,Holidays,,,uh huh,,
TRUE,206,T2DEGC,,,,,,Halloween,,,"Halloween, okay sounds good, do you want to pick the book","do you want a book, or do you want writing wizard? brings WW, offers choice, they read",
TRUE,207,T2DEGD,,,,,,Christmas,,,"yeah, here",Jen navigates back and brings tablet back to main screen - Jen goes to read with Tillie,
TRUE,208,T2DEGC,,,,,,Halloween,,,,,
,209,F,,,,,Entertainment,,,,,,
,210,FD,,,,,Alexa,,,,,,
,211,FDF,,,,,,Alexa play Beethoven on Spotify,,,,,
,212,FDE,,,,,,Alexa play Vivaldi,,,,,
,213,FDQ,,,,,,Alexa play Handel,,,,,
,214,FDL,,,,,,Alexa play Peppa Pig Cartoons,,,"you're doing great, good job Ellie",reads more between presses,
,215,FDF,,,,what music do you want to listen to,,Alexa play Beethoven on Spotify,,,good,Jen navigates back to Main,
,216,D,,,,,To play,,,,,,
,217,DB,,,,,,Snuggle,,,,,
,218,DB,,,,,,Snuggle,,,uh huh,,
,219,DE,,,,,,Book,,,,,
,220,DEB,,,,,,Touch and Feel,,,,,
,221,DEB,,,,,,Touch and Feel,,,yeah,,
TRUE,222,,,,,what theme?,,,,,,"Jen moves tablet and gives choice of 2 books then reads touch & feel fall. Then does some writing wizard and writing on paint. Then tracing ""up and down"" starting with ""left left left"" and Ellie works on writing letters. Isabelle does speech board next",
TRUE,223,,,,,,,,,,,,
TRUE,224,,20231106_100922,morning,,,,,,,,,
,225,I,,7:22,,,Descriptions and Preferences,,,,,,
,226,IC,,,,,,movement,,,,,
,227,ICB,,,,,,run,,,yeah,,
,228,ICM,,,,,,mom,,,,,
,229,ICM,,,,,,mom,,,mmm hmmm,,
,230,ICM,,,,,,mom,,,yeah,,
,231,ICG,,,,,,sit,,,,,
,232,ICM,,,,,,mom,,,,,
,233,ICH,,,,,,walk,,,I'm gonna walk,,
,234,ICJ,,,,,,slow,,,"okay, okay",,
,235,ICD,,,,,,jump,,,,Jen jumps,
,236,ICD,,,,,,jump,,,,still jumping,
,237,ICI,,,,,,fast,,,,jumps faster,
,238,ICO,,,,,,Ellie,,,,,
,239,ICO,,,,,,Ellie,,,,,
,240,ICO,,,,,,Ellie,,,,,
,241,ICE,,,,,,Swim,,,"you want to swim together, here - ",Jen does pretent swimming while Ellie is on her hand - moves her head down and up in the rotation,
,242,,,,,,,,,,,"Ellie opens messenger, calls Cori :)",
,243,J,,,,,About me,,,,yeah,,
,244,JE,,,,,feeling,,,,,,
,245,JED,,,,,mad,,,,,,
,246,JEDC,,,,,,I want to feel mad,,,,,
,247,JEDC,,,,,,I want to feel mad,,,,,
,248,JEDC,,,,,,I want to feel mad,,,"I'm sorry, did I end it too soon? Awww, I'm sorry, did you still want to talk to her? You can call her back if you want. She calls Cori back. ",,
,249,H,,,,,Memory and Time,,,,,,
,250,HC,,,,,Remember,,,,,,
,251,HCG,,,,,,Talk About Feelings,,,,,
,252,HCG,,,,,,Talk About Feelings,,,yeah,,
,253,J,,,,,About me,,,,,,
,254,JE,,,,,Feeling,,,,how are you feeling,,
,255,JEC,,,,,excited,,,,yeah,,
,256,JECB,,,,,,I feel excited,,,"aww, I'm so glad anything else you want to say", Jen navigates back to main,
,257,B,,,,,Places,,,,,,
,258,BO,,,,,,Isabelle,,,,,
,259,BC,,,,,,outside walk,,,do you wanna go for a walk outside,,
,260,BH,,,,,,curtain ,,,,,
,261,BH,,,,,,curtain ,,,oh you wanna go in the outside [?],,
,262,BD,,,,,,Isabelle's House,,,,,
,263,BG,,,,,,Playstand,,,[Jen laughs] you want to move Isabelle to the playstand? do you want to go outside? Do you want to do some writing first? ...,,
TRUE,264,,,,,,,,,,,,
,265,J,20231106_182354,evening,,,About Me,,,,yeah,,
,266,JD,,,,,Body,,,,"Yeah, how's your body",,
,267,JDI,,,,,,I feel good,,,"I'm so glad to hear it, thank you for sharing, Ellie, I'm so proud of you good job",Jen navigates back,
,268,I,,,,"Tell us more, what's going on (Jen cleans, Ellie hangs for a bit)",Descriptions and Preferences,,,,"good job, Ellie, keep going, good girl",,
,269,IC,,,,"Do you want to keep going, keep going, good girl",Movement,,,,,[NC touches...],
,270,ICH,,,,Can you push it again? ,,walk,,,"yeah, good job",(NC mom),
,271,ICI,,,,,,fast,,,,,
,272,ICM,,,,,,Mom,,,"okay, I'll walk over here with Till Till, Tillie",,
,273,ICI,,,,,,fast,,,,,
,274,ICI,,,,,,fast,,,okay I'll go fast,,
,275,ICM,,,,,,Mom,,,yeah,,
,276,ICN,,,,,,Tillie,,,"yeah, I'm working with Tillie","time passes, Jen navigates back",
,277,J,,,,"Good girl, okay keep goin",About Me,,,,yeah,Jen turns on Balloon Pop on other side of room,
,278,JD,,,,,Body,,,,uh huh how's your body,,
,279,JDG,,,,,,past,,,"yeah, in the past how did you feel",,
,280,JDJ,,,,,,Ouch,,,,,
,281,JDJ,,,,,,Ouch,,,yeah you did have an ouch in the past,,
,282,JDI,,,,,,I feel good,,,,,
,283,JDI,,,,,,I feel good,,,so you feel good now? Sometimes we get ouches and then we get...,,
,284,JDJ,,,,,,Ouch,,,,,
,285,JDJ,,,,,,Ouch,,,"do you see my ouch? It got better, it's kind of a scar",Jen shows Ellie her ouch,
,286,JDJ,,,,,,ouch ,,,"you see my other ouch, look, it got better. We have ouches and then they get better. ",,
,287,JDJ,,,,,,ouch,,,,,
,288,JDJ,,,,,,ouch,,,"yeah, I have an ouch and then it gets better...but ouches just happen because we have bodies. Our bodies get ouches sometimes.",[nc touch talk about],
,289,JDJ,,,,,,ouch,,,,"[nc back?, want sign with foot]",
,290,JDI,,,,,,I feel good,,,,,
,291,T2DH,,,,,,back,,,,"[waits and scratches self, Jen is with Isabelle and another tablet]",
,292,T2JDH,,,,,,back,,,"Ellie I love your conversations, here's a treat","Jen comes back and navigates to the main menu. Prompts her to keep going, Jen goes over to Tillie, Ellie gestures ""want"" sign.",
,293,J,,,,,About me,,,,,,
,294,JE,,,,,Feeling,,,,"yeah, how are you feeling","In the background, Tillie says ""Isabelle"" ""read"", Jen says that's a great idea, Issie do you want a book?",
,295,JEC,,,,,Excited,,,,"Yay, Ellie!",,
,296,JECB,,,,,,I feel excited,,,I'm so happy to hear that,,
,297,JECD,,,,look at you - you look so good - you look so good,,I want to feel excited,,,,,
,298,JECG,,,,,,I felt excited,,,,,
,299,CECG,,,,,,I felt excited,,,"I'm so glad, good job",,
,300,JECD,,,,,,I want to feel excited,,,,"Tillie doing speech board things on other side of room, Jen saying good job to Tillie, Ellie making want sign with foot, keeps hanging out while Jen and Tillie are playing, Tillie picks music, Ellie chews toes.",
,301,JECH,,,,,,I will feel excited,,,,,
,302,JECH,,,,,,I will feel excited,,,,"Ellie makes want sign & impatient sound, Jen comes back and gives treat and navigates speech board back",
,303,J,,,,,About me,,,,yeah how are you,,
,304,JC,,,,,Temperature,,,,how's your temperature,,
,305,JCJ,,40:51:00,,,,rain,,,,,
,306,JCI,,,,,,cloud,,,,Jen with Issie and music,
,307,JCJ,,,,,,rain,,,,,
,308,JCD,,,,,,warm,,,,,
,309,JCDI,,,,,,warm outside,,,,,
,310,JCDI,,,,,,warm outside,,,yeah it is warm outsid,,
,311,JCDK,,,,,,talk about,,,,,
,312,JCDJ,,,,,,Warm inside,,,"yeah, it's warm inside and outside",,
,313,JCDK,,,,,,talk about,,,that's great,,
,314,JCDJ,,,,,,warm inside,,,"yeah, it's warm inside and outside",Jen navigates back to main screen,
,315,E,,,,,To say hello to,,,,,,
,316,ED,,,,,,Cori,,,,,
TRUE,317,T2EI,,,,,,Cassie,,,You can call them if you want,,
TRUE,318,T2EI,,,,,,Cassie,,,Cassie might be busy but you can call Cori if you want,,
,319,EH,,,,,,Bird friends,,,,,
,320,EG,,,,,,Car Ride,,,"You can call Carrie or Cori or me...go Ellie, you can call","Ellie taps messenger a few times unsuccessfully, Jen encourages the call, ""it migt be a little late I don't know if she'll answer but you can call her,"" continues to encourage, she doesn't call, Jen opens writing wizard",
TRUE,321,,,,,,,,,,,,
TRUE,322,,20231107_095212,morning,"Jen is working, but popped in with the girls, Ellie says About me, body wing on tablet",,,,,,,Ellie yesterday said rain and it rained overnight,
,323,J,,,,,About me,,,,,,
,324,JD,,,,,Body,,,,,,
,325,JDE,,,,,,Wing,,,,no additional video,
TRUE,326,,,,,,,,,,,,
,327,,20231107_210440,evening,"Ellie turned on her tablet twice today and was talking while Jen was gone, about me body i feel good i feel good back ouch, I think back means before",,,,,,,,
,328,J,,,,,About me,,,,,,
,329,JD,,,,,Body,,,,,,
,330,JDI,,,,,,I feel good,,,,,
,331,JDI,,,,,,I feel good,,,,,
,332,T2JDH,,,,,,Back,,,,,
,333,JDJ,,,,,,ouch,,,,,
,334,JDI,,,,,,I feel good,,,,This is where new video content starts,
,335,JDI,,,,,,I feel good,,,,,
,336,JDJ,,,,,,Ouch,,,"Yeah, you had an ouch before",,
,337,E,,,,"Okay, Ell Bell, I'm glad to hear you are doing good. How are you? Keep going",Say hello to,,,,,Jen navigates back and tells Alexa to turn volume down,
,338,ED,,,,,,Cori,,,,,
,339,ED,,,,,,Cori,,,,you want to call Cori? it might be a little late but you can try,
,340,EH,,,,,,Bird friends,,,,Let me see if they're around,
TRUE,341,,,,,,,,,,,,
,342,A,20231108_103050,morning,,,Talk about,,,,,Jen turned on camera and said Ellie touched all of these,
,343,D,,,,,To play,,,,,Jen turned on camera and said Ellie touched all of these,
,344,DC,,,,,Tracing and writing,,,,,Jen turned on camera and said Ellie touched all of these,
,345,DCA,,,,,Back,,,,,Jen turned on camera and said Ellie touched all of these,
